stable_nodes_name;occurence
IL10R1_IL10R2_IL10_complex;1
IL10RA_IL10RB_complex_Fibroblast__Cytoplasmic_membrane_up;1
IL10RA_IL10RB_complex_TH1___cytoplasmic_membrane_up;1
IL10RA_IL10RB_IL10_complex;1
IL11;1
IL11_IL11Ra_IL6ST_complex;1
IL11Ra_IL6ST_IL11_complex;1
IL12_M1_macrophage___Extracellular_Space;1
IL12_M1_macrophage___Secreted_components;1
IL12_rna;1
IL12_TH1___extracellular_space;1
IL12_TH1___secreted_components;1
IL12A;1
IL12B;1
IL12RB_complex;1
IL12RB_IL12_complex;1
IL12Rb1_IL12Rb2_complex;1
IL12Rb1_IL12Rb2_IL12_complex;1
IL15_M1_macrophage___Secreted_components;1
IL15_M2_macrophage__secreted_components;1
IL17A_Fibroblast___Extracellular_Space;1
IL17A_Fibroblast___secreted_components;1
IL17A_IL17RA_complex;1
IL17F;1
IL17Ra_IL17Rc_IL17F_complex;1
IL18_Fibroblast___Extracellular_Space;1
IL18_Fibroblast___secreted_components;1
IL18_IL18R_complex;1
IL18_IL18R1_complex;1
IL18_IL18R1_IL18RAP_complex;1
IL18_M1_macrophage___Cytoplasm;1
IL18_M1_macrophage___Extracellular_Space;1
IL18_M1_macrophage___Secreted_components;1
IL18_M2_macrophage__cytoplasm;1
IL18_M2_macrophage__cytoplasm_active;1
IL18_TH1___extracellular_space;1
IL18_TH1___secreted_components;1
IL18R1_IL18RAP_complex;1
IL1A;1
IL1A_IL1R1_complex;1
IL1B_Fibroblast___Extracellular_Space;1
IL1B_Fibroblast___secreted_components;1
IL1B_IL1R1_complex;1
IL1B_M1_macrophage___Cytoplasm;1
IL1B_M1_macrophage___Extracellular_Space;1
IL1B_M1_macrophage___Secreted_components;1
IL1B_M2_macrophage__cytoplasm;1
IL1R1;1
IL1RN_rna;1
IL23_M1_macrophage___Extracellular_Space;1
IL23_M1_macrophage___Secreted_components;1
IL23_M2_macrophage__extracellular_space;1
IL23_M2_macrophage__secreted_components;1
IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up;1
IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up;1
IL23R_IL12RB1_IL23_complex_M1_macrophage__Cytoplasmic_membrane_up;1
IL23R_IL12RB1_IL23_complex_M2_macrophage__cytoplasmic_membrane_up;1
IL26;1
IL27;1
IL27_IL27RA_complex;1
IL32_rna;1
IL33_rna;1
IL34_Fibroblast___secreted_components;1
